track,artist,total_revenue,total_streams,revenue_per_stream
Jaan Re Tui,F A Sumon,7509.752457,133673.0,0.056180024814285606
Krishna Bhajan,Kaushik Chakraborty,992.2869324000001,17603.0,0.05637033076180197
Hoyto Tomari Jonno,Arijit Singh,736.7448454,13114.0,0.05618002481317676
Janere Khuda Jane,F A Sumon,673.8793977,11995.0,0.05618002481867445
Prithibita Naki Choto Hotey Hotey,Pratik Sen,616.024369,8709.0,0.07073422539901252
Jani Dekha Howbe Female,Shreya Ghoshal,466.8560062,8310.0,0.05618002481347774
Pakhi,F A Sumon,409.5523809,7290.0,0.056180024814814815
Daniken,Rupam Islam,403.69882258,5611.0,0.071947749524149
Dil Jane Na,Banasri Ghoshal,396.7497201,5291.0,0.07498577208467208
Nile Nile Ambar Par,Palash Das,319.7205212,5691.0,0.056180024811105254
Allahu Allah Rohom Koro,Shampa Haque,305.2822548,5434.0,0.05618002480677217
Bhalobasha Tui,F A Sumon,298.5968319,5315.0,0.056180024816556914
Meghla Dine Meghla Mon,S.P. Venkatesh,270.6,3608.0,0.07500000000000001
Ay Tobe Sohochori,Rabindranath Tagore,207.825,2771.0,0.075
Tomake Bujhi Na Priyo Female Version,Chandrani Banerjee,206.4054112,3674.0,0.05618002482308111
Tomay Bhalobasi,Sadhana Sargam Javed Ali,205.1132706,3651.0,0.05618002481511914
Ahare Mon,Anupam Roy,198.4840277,3533.0,0.056180024823096524
Jani Dekha Howbe Female,Indradeep Dasgupta,180.0,2400.0,0.075
Bolbo Toke Ki Kore,Ikrar,178.4839388,3177.0,0.05618002480327353
Ektu Ektu Kore,Riyad,164.4951127,2928.0,0.05618002482923497
Aamar Hiyar Majhe,Iman Chakraborty,156.9669893,2794.0,0.056180024803149604
Keno Kache Eli,Sree Pritam,154.2141681,2745.0,0.056180024808743165
Tomake Bujhi Na Priyo Male Version,Prasen Mukherjee,154.1579881,2744.0,0.05618002481778426
Jonom Rini,F A Sumon,143.5399634,2555.0,0.05618002481409002
Jokhon Porbe Na Mor,Sreeradha Bandyopadhyay,138.75,1850.0,0.075
Jani Dekha Howbe Male,Anupam Roy,137.9781409,2456.0,0.05618002479641694
Arabic,Nan,117.0791717,2084.0,0.056180024808061425
Saraswati Bandana 1,Shreemoyee Bhatterjee,111.6297093,1987.0,0.05618002481127328
Meghla Dine Meghla Mon,Alka Yagnik Kartick,103.5397857,1843.0,0.0561800247965274
Chena Chena A Poth,Alka Yagnik Kartick,101.4611248,1806.0,0.056180024806201545
Sokhi Vabona Kahare Bole,Irene Sarkar,98.12818994999999,1409.0,0.069643853761533
Jani Dekha Howbe Male,Indradeep Dasgupta,94.05,1254.0,0.075
Purano Sei,Neepabithi,90.3374799,1608.0,0.05618002481343284
Bhalobese Sokhee,Iman Chakraborty,88.37117903,1573.0,0.05618002481246026
Majhe Majhe Tobo Dekha Pai,Rabindranath Tagore,88.2,1176.0,0.075
Baul Gaan Sunbi Jodi,Disha Ghorai,87.84953784,1554.0,0.05653123413127413
Sukh Pakhi Re Aamar,Sujon Biswas,86.83661799000001,1542.0,0.05631427885214008
Tomay Dilam,Baju,84.10149715,1497.0,0.056180024816299266
Bhalobasa Dao Bhalobasa Naw,Habib Wahid,84.02448462000001,1167.0,0.07200041526992289
Amar Prothom Prem,S.P. Venkatesh,83.475,1113.0,0.075
Romzaner Oi Rozar Sheshe,Shusmita Anis,80.22507544,1428.0,0.05618002481792717
Bondhua Sujon,F A Sumon,79.15765496,1409.0,0.05618002481192335
Amar Prothom Prem,Kartick,78.31495459,1394.0,0.05618002481348637
Majhe Majhe Tobo Dekha Pai,Sayak Bandyopadhay,78.14641452,1391.0,0.05618002481667864
Tomar Khola Hawoaye,Sriradha Bandyopadhay,77.41607419,1378.0,0.056180024811320756
Chena Chena A Poth,S.P. Venkatesh,76.05,1014.0,0.075
Diwana,F A Sumon,72.02279181,1282.0,0.056180024812792516
Jana Gana Mana,Rabindranath Tagore,71.775,957.0,0.07500000000000001
Sei Valo Sei Valo,Paramita Danda,69.675,929.0,0.075
A Gaan Amar,S.P. Venkatesh,69.45,926.0,0.075
