album,total_revenue,total_streams,track_count
Jaan Re Tui,9301.67052854,165569.0,9
Bazimaat,1127.12165839,17035.0,10
Jani Dekha Howbe,1031.9291177,16770.0,7
Baishab Jan To,998.3939743400001,17704.0,3
Hoyto Tomari Jonno,736.7448454,13114.0,1
Kach-Chu Bibi And Twing,617.18672905,8725.0,3
Projapoti Biskut,584.4969782400001,10404.0,6
Elar Char Addhay,465.82917172,6734.0,8
Chashme Baddoor,415.41604319,5571.0,8
Daniken,403.69882258,5611.0,1
Mon Sudhu Toke Chai,340.22623022,6056.0,5
Chalte Chalte,339.66443001000005,6046.0,4
Hiyar Majhe,328.93740407999996,5843.0,15
Bhebe Chhilam Aapan Jare,327.51720258,5000.0,49
Gausul Azam Maijbhandaari,305.84405504999995,5444.0,5
Ar Naire Bela,302.45618003,4033.0,10
Hridoyer Kotha,295.804385,4399.0,10
Tomaye Bhalobashi,214.65457148,3787.0,5
Krishna Naame Pashan Gole,196.79862694000002,3503.0,10
Osrujol,194.21434584,3457.0,6
Mohiner Ghora Guli,184.71992158999998,3288.0,11
Abong Valobasa,179.79178063999998,2606.0,8
Rege Gelen To Here Gelen,171.12435559,3046.0,10
Arghya,168.95618002999998,2253.0,6
Tomay Gaan Shonabo,157.02316936,2795.0,12
Pagol Bijoyer Posha Pakhi,148.14164739,2050.0,8
Posto,144.43884381,2571.0,5
Chhuye Dile Mon,127.64985336000001,1837.0,6
Saraswati Puja Special,120.95559342,2153.0,3
Spectrum,118.10951203,2101.0,8
Tagore On The Highway,117.68085113,2086.0,12
Ek Tukdaa Dhoop Ka,117.51686948,1865.0,13
Krishna Bhajan,97.1352629,1729.0,3
Folkscape,94.3444686,1345.0,8
Ektarati Hate Dhore,93.15459826,1629.0,8
Nana Ronger Nojrul,83.37642171,1129.0,12
Collection Of Somdutta Vol. 2,80.89923575,1440.0,16
Barkat Namaaz Ki,80.84305572,1439.0,10
Romzaner Oi Rozar Sheshe - Single,80.22507544,1428.0,1
Anadi Ashim,80.06208018,1069.0,10
Abelay,78.25877458000001,1393.0,6
Shiv Bhole Bhandari,78.03405448,1389.0,7
Hrid Majharey Rakhbo,77.94744529,1295.0,8
Collection Of Somdutta Vol. 1,76.85427397000001,1368.0,12
Kobita Scope,74.77220102,1007.0,13
Jana Gana Mana,72.8986005,977.0,1
Je Acho Ontorey,72.80931215,1296.0,8
Premer Banan,71.51717161,1273.0,11
Rutbaye Rasool Allah,70.78683127,1260.0,13
Shabbir Ki Shaadi,70.61829119,1257.0,11
