source,activity_period,year_month,store_name,country,artist,album,track,revenue,stream_count,unit_type,project_code,revenue_per_stream,is_rev_outlier,is_rps_outlier,is_streams_outlier
jiosaavn,,,JioSaavn,India,Indradeep Dasgupta,Jani Dekha Howbe,Jani Dekha Howbe Male,94.05,1254.0,,INT441631302,0.075,True,False,True
jiosaavn,,,JioSaavn,India,Rupam Islam,Daniken,Daniken,352.575,4701.0,,INT441779201,0.075,True,False,True
jiosaavn,,,JioSaavn,India,Rabindranath Tagore,Elar Char Addhay,Majhe Majhe Tobo Dekha Pai,88.2,1176.0,,INT441625904,0.075,True,False,True
jiosaavn,,,JioSaavn,India,Pratik Sen,Kach-Chu Bibi And Twing,Prithibita Naki Choto Hotey Hotey,505.125,6735.0,,INT441663301,0.075,True,False,True
jiosaavn,,,JioSaavn,India,Indradeep Dasgupta,Jani Dekha Howbe,Jani Dekha Howbe Female,180.0,2400.0,,INT441631301,0.075,True,False,True
jiosaavn,,,JioSaavn,India,S.P. Venkatesh,Bazimaat,Chena Chena A Poth,76.05,1014.0,,INT441617006,0.075,True,False,False
jiosaavn,,,JioSaavn,India,S.P. Venkatesh,Bazimaat,Meghla Dine Meghla Mon,270.6,3608.0,,INT441617009,0.075,True,False,True
jiosaavn,,,JioSaavn,India,Sreeradha Bandyopadhyay,Hridoyer Kotha,Jokhon Porbe Na Mor,138.75,1850.0,,INT441630106,0.075,True,False,True
jiosaavn,,,JioSaavn,India,Banasri Ghoshal,Chashme Baddoor,Dil Jane Na,396.525,5287.0,,INT441620503,0.075,True,False,True
jiosaavn,,,JioSaavn,India,S.P. Venkatesh,Bazimaat,Amar Prothom Prem,83.475,1113.0,,INT441617004,0.075,True,False,False
jiosaavn,,,JioSaavn,India,Rabindranath Tagore,Elar Char Addhay,Ay Tobe Sohochori,207.825,2771.0,,INT441625901,0.075,True,False,True
wynk,,,Wynk Music,India,Kartick,Bazimaat,Amar Prothom Prem,78.31495459,1394.0,,int441617004,0.0561800248134863,True,False,True
wynk,,,Wynk Music,India,Shreemoyee Bhatterjee,Saraswati Puja Special,Saraswati Bandana 1,111.6297093,1987.0,,int441646601,0.0561800248112732,True,False,True
wynk,,,Wynk Music,India,F A Sumon,Jaan Re Tui,Jonom Rini,143.5399634,2555.0,,int441803954,0.05618002481409,True,False,True
wynk,,,Wynk Music,India,Ikrar,Mon Sudhu Toke Chai,Bolbo Toke Ki Kore,178.4839388,3177.0,,int441780503,0.0561800248032735,True,False,True
wynk,,,Wynk Music,India,Neepabithi,Tagore On The Highway,Purano Sei,90.3374799,1608.0,,int441651209,0.0561800248134328,True,False,True
wynk,,,Wynk Music,India,Shreya Ghoshal,Abelay,Rimjhim,67.64074988,1204.0,,int441901629,0.0561800248172757,False,False,True
wynk,,,Wynk Music,India,Sree Pritam,Mon Sudhu Toke Chai,Keno Kache Eli,154.2141681,2745.0,,int441780504,0.0561800248087431,True,False,True
wynk,,,Wynk Music,India,F A Sumon,Jaan Re Tui,Pakhi,409.5523809,7290.0,,int441803957,0.0561800248148148,True,False,True
wynk,,,Wynk Music,India,Anupam Roy,Projapoti Biskut,Ahare Mon,198.4840277,3533.0,,int441794003,0.0561800248230965,True,False,True
wynk,,,Wynk Music,India,Kaushik Chakraborty,Baishab Jan To,Krishna Bhajan,978.9369324,17425.0,,int441664903,0.056180024814921,True,False,True
wynk,,,Wynk Music,India,F A Sumon,Jaan Re Tui,Jaan Re Tui,7509.752457,133673.0,,int441803952,0.0561800248142856,True,False,True
wynk,,,Wynk Music,India,Prasen Mukherjee,Projapoti Biskut,Tomake Bujhi Na Priyo Male Version,154.1579881,2744.0,,int441794002,0.0561800248177842,True,False,True
wynk,,,Wynk Music,India,Shusmita Anis,Romzaner Oi Rozar Sheshe - Single,Romzaner Oi Rozar Sheshe,80.22507544,1428.0,,int441900297,0.0561800248179271,True,False,True
wynk,,,Wynk Music,India,F A Sumon,Jaan Re Tui,Bondhua Sujon,79.15765496,1409.0,,int441803950,0.0561800248119233,True,False,True
wynk,,,Wynk Music,India,Nan,Spectrum,Arabic,117.0791717,2084.0,,int441648901,0.0561800248080614,True,False,True
wynk,,,Wynk Music,India,Sadhana Sargam Javed Ali,Tomaye Bhalobashi,Tomay Bhalobasi,205.1132706,3651.0,,int441652705,0.0561800248151191,True,False,True
wynk,,,Wynk Music,India,Sriradha Bandyopadhay,Hridoyer Kotha,Tomar Khola Hawoaye,77.41607419,1378.0,,int441630110,0.0561800248113207,True,False,True
wynk,,,Wynk Music,India,Alka Yagnik Kartick,Bazimaat,Meghla Dine Meghla Mon,103.5397857,1843.0,,int441617009,0.0561800247965274,True,False,True
